"","well","efficiency","rsq","Target"
"1","A2",1.00418046231662,0.904593154035195,"hsa-miR-103a-2-5p"
"2","B1",1.04538359155242,0.999357662356628,"hsa-miR-186-5p"
"3","B12",1.00697879691049,0.988005014621392,"hsa-miR-29c-3p"
"4","B3",1.18233709453005,0.998649658383922,"hsa-miR-361-5p"
"5","B5",1.01344761661451,0.99676033463469,"hsa-let-7f-5p"
"6","B8",1.00347366345621,0.990393620849922,"hsa-miR-5010-3p"
"7","C1",1.13610346785759,0.999191211830146,"hsa-miR-186-5p"
"8","C10",1.06596189445707,0.999782003828267,"hsa-let-7d-3p"
"9","C11",1.12937733489577,0.999551779037203,"hsa-miR-885-5p"
"10","C12",1.06862676385277,0.999758902050105,"hsa-miR-29c-3p"
"11","C2",1.03721237797858,0.999634292160611,"hsa-miR-103a-2-5p"
"12","C3",1.1860209064097,0.998504649554829,"hsa-miR-361-5p"
"13","C4",1.10827513584818,0.999262328622496,"hsa-miR-425-3p"
"14","C5",1.01356421120275,0.997620461468922,"hsa-let-7f-5p"
"15","C6",1.02148293709228,0.999873441954521,"hsa-miR-3200-3p"
"16","C7",1.00640901595167,1,"hsa-miR-1306-5p"
"17","C8",1.00282235034039,0.996330300298224,"hsa-miR-5010-3p"
"18","C9",1.15124912908686,0.999474539864183,"hsa-miR-151a-3p"
"19","D1",1.11736468026234,0.998791859886972,"hsa-miR-186-5p"
"20","D10",1.02301977608672,0.999916051037335,"hsa-let-7d-3p"
"21","D11",1.10252694651402,0.999598759513609,"hsa-miR-885-5p"
"22","D12",1.04626096451631,0.999721386904148,"hsa-miR-29c-3p"
"23","D2",1.01830136685632,0.996729103388126,"hsa-miR-103a-2-5p"
"24","D3",1.1834324777954,0.999040266006946,"hsa-miR-361-5p"
"25","D4",1.19944749842026,0.998820475925064,"hsa-miR-425-3p"
"26","D5",1.01658778827534,0.998996935911347,"hsa-let-7f-5p"
"27","D6",1.01238401374103,1,"hsa-miR-3200-3p"
"28","D7",1.00746245876577,1,"hsa-miR-1306-5p"
"29","D8",1.00329756700101,0.992101899069546,"hsa-miR-5010-3p"
"30","E1",1.1352229671161,0.999250801427918,"hsa-miR-186-5p"
"31","E10",1.06782602057871,0.999169838701971,"hsa-let-7d-3p"
"32","E11",1.12484835316898,0.999074415119666,"hsa-miR-885-5p"
"33","E12",1.08162578423472,0.999404397135657,"hsa-miR-29c-3p"
"34","E2",1.09400064903456,0.99789505831858,"hsa-miR-103a-2-5p"
"35","E3",1.1902213007,0.998161140246846,"hsa-miR-361-5p"
"36","E4",1.11777711217729,0.999355528515593,"hsa-miR-425-3p"
"37","E5",1.01310742262997,0.997593234767519,"hsa-let-7f-5p"
"38","E6",1.03521264991142,0.999932920350149,"hsa-miR-3200-3p"
"39","E7",1.01372571627556,1,"hsa-miR-1306-5p"
"40","E8",1.00454864512708,0.993434584500959,"hsa-miR-5010-3p"
"41","E9",1.1643089208993,0.999288514500759,"hsa-miR-151a-3p"
"42","F1",1.1353194654395,0.999012255189442,"hsa-miR-186-5p"
"43","F10",1.04956136991086,0.99981925372535,"hsa-let-7d-3p"
"44","F11",1.11611095367998,0.999590205312518,"hsa-miR-885-5p"
"45","F12",1.08604641741875,0.99937675632026,"hsa-miR-29c-3p"
"46","F2",1.10233558217335,0.999386667562596,"hsa-miR-103a-2-5p"
"47","F3",1.193139251943,0.999179604156373,"hsa-miR-361-5p"
"48","F4",1.13178602986095,0.997645510872913,"hsa-miR-425-3p"
"49","F5",1.01390110957827,0.998916714098591,"hsa-let-7f-5p"
"50","F6",1.02864902844589,0.999925349773532,"hsa-miR-3200-3p"
"51","F7",1.00945916020445,0.999468570059202,"hsa-miR-1306-5p"
"52","F8",1.00391832766047,0.989850718720126,"hsa-miR-5010-3p"
"53","F9",1.16203184139507,0.999250475159596,"hsa-miR-151a-3p"
"54","G1",1.13297929426511,0.999108128634773,"hsa-miR-186-5p"
"55","G10",1.054009493746,0.999752700608902,"hsa-let-7d-3p"
"56","G11",1.11390746052607,0.999236436139548,"hsa-miR-885-5p"
"57","G12",1.07895370121965,0.999299636726451,"hsa-miR-29c-3p"
"58","G2",1.07814445117542,0.998882999122409,"hsa-miR-103a-2-5p"
"59","G3",1.19099358175644,0.99877745119062,"hsa-miR-361-5p"
"60","G4",1.12526866423093,0.997601651232932,"hsa-miR-425-3p"
"61","G5",1.01803622202352,0.999255810849452,"hsa-let-7f-5p"
"62","G6",1.02095647737389,0.999986705138795,"hsa-miR-3200-3p"
"63","G7",1.00467832001494,0.990614924276254,"hsa-miR-1306-5p"
"64","G8",1.00304730255611,0.988951817610179,"hsa-miR-5010-3p"
"65","G9",1.15657993646367,0.999521142363358,"hsa-miR-151a-3p"
