# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","138946.84","177101.11"
"1","A1","2","138988.4","177186.33"
"1","A1","3","139696.2","178306.6"
"1","A1","4","141334.17","179556.08"
"1","A1","5","143879.77","180668.69"
"1","A1","6","145511.17","181414.8"
"1","A1","7","146084.48","181720.94"
"1","A1","8","147594.22","182061.78"
"1","A1","9","147928.33","182602.98"
"1","A1","10","148209.0","182600.9"
"1","A1","11","148268.86","182795.64"
"1","A1","12","148139.52","182909.23"
"1","A1","13","148679.42","183254.81"
"1","A1","14","149414.83","183540.7"
"1","A1","15","149666.23","183461.55"
"1","A1","16","149635.22","183484.92"
"1","A1","17","150384.14","183439.36"
"1","A1","18","150727.47","183902.95"
"1","A1","19","151176.44","183929.4"
"1","A1","20","151411.72","183906.7"
"1","A1","21","151679.44","183982.77"
"1","A1","22","151575.98","183583.86"
"1","A1","23","151369.08","183331.78"
"1","A1","24","151952.03","183576.67"
"1","A1","25","152752.36","183948.47"
"1","A1","26","152471.69","184200.42"
"1","A1","27","152082.3","184297.28"
"1","A1","28","151995.42","184283.7"
