# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Well","Well Position","Cycle Number","X1_M1","X3_M3","X2_M2","X4_M4"
"1","A1","1","152055.72","13144.413","21498.809","180121.06"
"2","A2","1","161399.8","17654.953","20473.494","196176.66"
"3","A3","1","159788.72","17995.484","18801.906","192933.44"
"4","A4","1","151079.12","19106.994","17055.938","180208.88"
"5","A5","1","146363.7","19214.5","14978.516","176042.98"
"6","A6","1","140051.02","19586.066","14018.272","171175.9"
"7","A7","1","-4905.9976","131.10175","-439.31644","128.96587"
"8","A8","1","-1185.922","341.01346","930.29346","900.9715"
"9","A9","1","-6058.5923","-175.92574","-103.33296","500.09644"
"10","A10","1","-6550.118","874.7533","235.70705","1383.3043"
"11","A11","1","-3280.356","958.50116","2182.8345","58.408997"
"12","A12","1","-1211.714","1342.1874","2518.4724","1775.6826"
"13","B1","1","162802.08","16266.76","21728.143","199399.61"
"14","B2","1","161918.19","18369.934","19328.832","197654.89"
"15","B3","1","160842.34","20728.98","17438.027","193621.45"
"16","B4","1","146986.73","20794.096","15255.262","185813.16"
"17","B5","1","145801.38","21017.31","13342.966","174270.75"
"18","B6","1","153266.2","21952.043","14456.204","182794.73"
"19","B7","1","-3538.4817","244.07323","497.9239","182.23338"
"20","B8","1","-5705.877","-142.2745","-361.6233","-333.43088"
"21","B9","1","2277.3057","-187.99869","314.8472","234.3297"
"22","B10","1","-7343.483","503.60156","-408.14276","-28.792875"
"23","B11","1","-4209.629","50.47812","16.298893","23.816446"
"24","B12","1","-9875.671","490.8358","1613.694","-416.77502"
"25","C1","1","163071.77","17190.748","20677.133","200530.77"
"26","C2","1","154668.25","18747.979","17657.277","191177.53"
"27","C3","1","158247.48","20611.703","16302.4","194828.16"
"28","C4","1","149177.08","21579.668","14233.289","184295.36"
"29","C5","1","153854.77","22582.92","13479.7705","185814.0"
"30","C6","1","124876.6","18684.934","11284.761","149996.48"
"31","C7","1","-7342.2944","-694.9619","246.2009","382.5701"
"32","C8","1","-7598.0967","-402.97806","-395.95816","-39.121803"
"33","C9","1","-5555.824","-139.61533","-127.02469","-368.00113"
"34","C10","1","-8667.46","-814.3527","-756.3527","-149.64238"
"35","C11","1","-9834.707","-907.90137","-373.51443","-1056.8809"
"36","C12","1","-7550.713","-281.62918","-257.28223","-213.51364"
"37","D1","1","156250.94","18236.25","19824.79","194060.42"
"38","D2","1","154172.58","18660.764","16841.783","186750.47"
"39","D3","1","156870.84","21437.385","16097.789","190159.75"
"40","D4","1","-5986.1187","-108.663925","-183.84122","893.675"
"41","D5","1","-11817.047","-403.4114","-957.75244","-625.6363"
"42","D6","1","-5970.8267","-232.81439","-265.7575","234.21667"
"43","D7","1","-2971.3066","-509.55914","440.78836","-1.8998016"
"44","D8","1","-6389.5674","-682.02954","-344.08313","-237.27191"
"45","D9","1","-6825.4106","90.851585","-142.1867","-613.65424"
"46","D10","1","-6774.593","126.883255","50.54893","46.993477"
"47","D11","1","-11220.559","-1056.3616","-208.24217","-449.09222"
"48","D12","1","-9401.278","60.224575","807.2701","-86.78787"
"49","E1","1","159286.28","16681.86","19978.795","199265.16"
"50","E2","1","163510.33","19231.54","18689.426","202290.47"
"51","E3","1","156692.53","20494.57","15633.492","189723.56"
"52","E4","1","-6255.407","-38.306828","202.86327","400.1359"
"53","E5","1","-2660.0542","-44.037163","829.2751","363.3206"
"54","E6","1","-3229.097","-121.83868","-51.999336","-581.3436"
"55","E7","1","-3932.049","-29.94442","-234.63008","514.70337"
"56","E8","1","-9008.959","-138.29617","-639.80365","421.8273"
"57","E9","1","-1254.0957","359.43588","2880.2595","1794.7097"
"58","E10","1","-5098.0195","-105.686905","70.71157","-152.53748"
"59","E11","1","-7914.2583","-454.8394","-617.4004","-382.39737"
"60","E12","1","-11723.649","-419.75165","320.95792","-172.55736"
"61","F1","1","155322.92","16893.297","19797.174","190763.52"
"62","F2","1","151014.7","18321.115","17156.344","187619.94"
"63","F3","1","159372.83","20440.963","16442.287","193776.02"
"64","F4","1","-9061.843","-329.96866","3.9369676","-237.87915"
"65","F5","1","-3140.9385","-44.09619","1069.7676","613.1159"
"66","F6","1","-10407.735","-1543.7338","-769.9963","-545.46"
"67","F7","1","-8476.376","-483.9291","201.36421","-492.2457"
"68","F8","1","-4111.8286","-627.07086","596.0737","106.24554"
"69","F9","1","-2806.6804","-27.034336","1305.2007","649.0517"
"70","F10","1","-7608.0327","-503.90384","17.190292","256.0176"
"71","F11","1","-9407.865","-328.05133","-202.70097","-139.14932"
"72","F12","1","-11987.77","-753.15045","456.14993","-523.9799"
"73","G1","1","156694.11","16315.775","21881.465","197480.28"
"74","G2","1","164037.16","17894.938","19113.926","196932.06"
"75","G3","1","157727.33","19074.977","17361.004","195108.44"
"76","G4","1","-7930.4023","-192.50383","-465.77017","834.82733"
"77","G5","1","-10552.79","-361.42947","-177.53595","165.52939"
"78","G6","1","-6714.2646","-84.12102","-551.63434","799.2965"
"79","G7","1","-4561.8975","281.73456","495.03778","1579.0903"
"80","G8","1","-7450.9507","119.24284","-98.71773","-762.32935"
"81","G9","1","-5750.331","284.29376","1465.6637","2368.1802"
"82","G10","1","-8041.346","333.39667","1966.8074","786.13007"
"83","G11","1","-10361.977","-548.8911","44.72537","-61.668163"
"84","G12","1","-12091.966","-1061.9628","1397.1506","-226.23067"
"85","H1","1","168621.02","16439.195","26325.68","202533.77"
"86","H2","1","156792.27","16413.857","21645.34","192118.3"
"87","H3","1","149076.84","17764.748","18925.31","187727.66"
"88","H4","1","-6212.6606","-69.96591","830.58844","1559.3354"
"89","H5","1","766.1853","723.71313","2432.8389","727.38525"
"90","H6","1","-7997.7734","537.837","981.27716","175.05766"
"91","H7","1","-11919.208","-50.59281","-575.01605","-1332.9806"
"92","H8","1","-8408.367","28.407879","503.70007","-836.69257"
"93","H9","1","-15095.331","-877.5407","1619.9323","530.9946"
"94","H10","1","-9527.891","-221.61401","1654.1099","343.63983"
"95","H11","1","-11517.887","-556.8529","18.867058","-1303.2137"
"96","H12","1","-5510.821","176.76082","2904.4082","331.34766"
"1","A1","2","149042.14","13049.076","20606.12","176957.02"
"2","A2","2","159595.94","17008.13","20129.51","192897.88"
"3","A3","2","159061.9","18027.658","18234.982","190371.48"
"4","A4","2","148176.5","18553.572","16117.532","176456.44"
"5","A5","2","142551.64","18799.088","14001.56","172312.33"
"6","A6","2","138518.42","19442.354","13867.386","168384.06"
"7","A7","2","-5980.769","-118.470955","-1049.5463","-76.95154"
"8","A8","2","-1042.5912","460.6205","767.7782","1263.0594"
"9","A9","2","-7105.3765","215.63724","-622.614","421.6188"
