# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"1/10","cel-miR-39-3p","3","1.0E10","0","10.201793089152767","0.1343365957780156","0.07755926973445526",
"1/100","cel-miR-39-3p","3","1.0E9","0","13.24615024655067","0.08730263622303441","0.05040420052433289",
"1/1000","cel-miR-39-3p","3","1.0E8","0","17.006233516776977","0.12320488523008077","0.07113237365306409",
"1/10000","cel-miR-39-3p","3","1.0E7","0","20.4438741646299","0.21341386086057995","0.12321455001665318",
"1/100000","cel-miR-39-3p","3","1000000.0","0","24.270385554962647","0.09229294274712936","0.05328535533935786",
"1/1000000","cel-miR-39-3p","3","100000.0","0","28.205226900053884","0.2245694586898547","0.12965523742635615",
"1/10000000","cel-miR-39-3p","3","10000.0","0","30.978386912442925","0.16555519361217202","0.09558333559772814",
"1/100000000","cel-miR-39-3p","3","1000.0","0","31.15458088539876","0.1873047551526095","0.10814045080785605",
"1/1/1000000000","cel-miR-39-3p","3","10.0","0","35.64950207100625","","",
"1/1000000000","cel-miR-39-3p","3","100.0","0","34.460864295786756","0.1565176810902216","0.09036552531037545",
"NTC","cel-miR-39-3p","3","-","0","","","",
