# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","NTC","cel-miR-39-3p","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"2","A2","false","NTC","cel-miR-39-3p","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"3","A3","false","NTC","cel-miR-39-3p","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"4","A4","false","1/100000000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.1084074215608086","","","31.04437010511736","0.8976679903267758","31.15458088539876","0.1873047551526095","true","0.03999999910593033","true","3","28"
"5","A5","false","1/100000000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.07336812762982","","","31.048524061496543","0.8627472129984791","31.15458088539876","0.1873047551526095","true","0.03999999910593033","true","3","28"
"6","A6","false","1/100000000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.0525613647387877","","","31.370848489582386","0.8678360664779312","31.15458088539876","0.1873047551526095","true","0.03999999910593033","true","3","28"
"13","B1","false","1/10","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.0951096041178605","","","10.298924567044878","0.6531346402656103","10.201793089152767","0.1343365957780156","true","0.03999999910593033","true","3","7"
"14","B2","false","1/10","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.089635586732105","","","10.048487539403597","0.6557776915437803","10.201793089152767","0.1343365957780156","true","0.03999999910593033","true","3","7"
"15","B3","false","1/10","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.0934234754079528","","","10.257967161009827","0.653547553570462","10.201793089152767","0.1343365957780156","true","0.03999999910593033","true","3","7"
"16","B4","false","1/1000000000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.08451616151225","","","34.537296582229075","0.8495937440122557","34.460864295786756","0.1565176810902216","true","0.03999999910593033","true","3","32"
"17","B5","false","1/1000000000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.0754403589492894","","","34.56448031988219","0.8088644989055482","34.460864295786756","0.1565176810902216","true","0.03999999910593033","true","3","32"
"18","B6","false","1/1000000000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.1493424586128278","","","34.28081598524899","0.8697950466591855","34.460864295786756","0.1565176810902216","true","0.03999999910593033","true","3","31"
"25","C1","false","1/100","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.0929501020219594","","","13.155306029015808","0.7334134980184285","13.24615024655067","0.08730263622303441","true","0.03999999910593033","true","3","10"
"26","C2","false","1/100","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.0942165191892108","","","13.329417386654157","0.680028975581668","13.24615024655067","0.08730263622303441","true","0.03999999910593033","true","3","10"
"27","C3","false","1/100","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.0926914704243402","","","13.253727323982048","0.6888625728410849","13.24615024655067","0.08730263622303441","true","0.03999999910593033","true","3","10"
"28","C4","false","1/1/1000000000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"29","C5","false","1/1/1000000000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.092848129575475","","","35.64950207100625","0.7589602616956309","35.64950207100625","","true","0.03999999910593033","true","3","32"
"30","C6","false","1/1/1000000000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"37","D1","false","1/1000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.0975810989454728","","","16.973362957267177","0.7479017582941994","17.006233516776977","0.12320488523008077","true","0.03999999910593033","true","3","14"
"38","D2","false","1/1000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.0931022754834767","","","17.142539929348366","0.784636853793108","17.006233516776977","0.12320488523008077","true","0.03999999910593033","true","3","14"
"39","D3","false","1/1000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.1013661463612376","","","16.90279766371539","0.7530177335510777","17.006233516776977","0.12320488523008077","true","0.03999999910593033","true","3","14"
"49","E1","false","1/10000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.0857481409627092","","","20.256314243851442","0.8023417707609681","20.4438741646299","0.21341386086057995","true","0.03999999910593033","true","3","17"
"50","E2","false","1/10000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.0858491437059117","","","20.676078953339577","0.8609824272735397","20.4438741646299","0.21341386086057995","true","0.03999999910593033","true","3","18"
"51","E3","false","1/10000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.0961726483892698","","","20.399229296698685","0.8030178999641845","20.4438741646299","0.21341386086057995","true","0.03999999910593033","true","3","17"
"61","F1","false","1/100000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.0957541259657917","","","24.37688589993396","0.8813413014173561","24.270385554962647","0.09229294274712936","true","0.03999999910593033","true","3","21"
"62","F2","false","1/100000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.1028032581327256","","","24.220488690049073","0.8975840737383047","24.270385554962647","0.09229294274712936","true","0.03999999910593033","true","3","21"
"63","F3","false","1/100000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.1089017677798503","","","24.213782074904913","0.8967182823035756","24.270385554962647","0.09229294274712936","true","0.03999999910593033","true","3","21"
"73","G1","false","1/1000000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.1001652230120849","","","28.389859804320068","0.8697069484236394","28.205226900053884","0.2245694586898547","true","0.03999999910593033","true","3","25"
"74","G2","false","1/1000000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.119859227096527","","","27.955225763271365","0.9080534227393633","28.205226900053884","0.2245694586898547","true","0.03999999910593033","true","3","25"
"75","G3","false","1/1000000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.1087243501073218","","","28.270595132570215","0.8876136007574459","28.205226900053884","0.2245694586898547","true","0.03999999910593033","true","3","25"
"85","H1","false","1/10000000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.047851439578547","","","30.806716065264567","0.9067218099681322","30.978386912442925","0.16555519361217202","true","0.03999999910593033","true","3","28"
"86","H2","false","1/10000000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.1284034658337794","","","31.137060254068174","0.9092192086637845","30.978386912442925","0.16555519361217202","true","0.03999999910593033","true","3","28"
"87","H3","false","1/10000000","cel-miR-39-3p","STANDARD","FAM","NFQ-MGB","Amp","1.1392607226607876","","","30.991384417996024","0.890893456013799","30.978386912442925","0.16555519361217202","true","0.03999999910593033","true","3","28"
