# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","NTC","","cel-miR-39-3p","FAM","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"2","A2","NTC","","cel-miR-39-3p","FAM","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"3","A3","NTC","","cel-miR-39-3p","FAM","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"4","A4","1/100000000","1000.0","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","31.04437010511736","31.15458088539876","0.8976679903267758","0.1873047551526095","","","true","0.03999999910593033","true","3","28","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"5","A5","1/100000000","1000.0","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","31.048524061496543","31.15458088539876","0.8627472129984791","0.1873047551526095","","","true","0.03999999910593033","true","3","28","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"6","A6","1/100000000","1000.0","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","31.370848489582386","31.15458088539876","0.8678360664779312","0.1873047551526095","","","true","0.03999999910593033","true","3","28","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"13","B1","1/10","1.0E10","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","10.298924567044878","10.201793089152767","0.6531346402656103","0.1343365957780156","","","true","0.03999999910593033","true","3","7","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"14","B2","1/10","1.0E10","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","10.048487539403597","10.201793089152767","0.6557776915437803","0.1343365957780156","","","true","0.03999999910593033","true","3","7","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"15","B3","1/10","1.0E10","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","10.257967161009827","10.201793089152767","0.653547553570462","0.1343365957780156","","","true","0.03999999910593033","true","3","7","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
"16","B4","1/1000000000","100.0","cel-miR-39-3p","FAM","STANDARD","FAM","NFQ-MGB","Amp","34.537296582229075","34.460864295786756","0.8495937440122557","0.1565176810902216","","","true","0.03999999910593033","true","3","32","","","","","41.4188","0.977772838025346","-3.0317","113.71899807185963","1.2807312550311234","0.0896455851781831","false"
